Name,Country,Region,Winery,Rating,Price,Year,PriceCategory
Aulerde Riesling GG 2018,Germany,Rheinhessen,Wittmann,4.1,36.0,2018.0,Mid
Maximin Herrenberg 1896 Riesling Alte Reben 2014,Germany,Mosel,Carl Loewen,3.9,47.99,2014.0,Mid
Berger Baron Bordeaux Blanc 2017,France,Bordeaux,Baron Philippe de Rothschild,3.1,8.72,2017.0,Budget
Trittenheimer Apotheke Riesling Trocken 2018,Germany,Mosel,Ansgar Clüsserath,4.0,25.83,2018.0,Mid
Pian di Rèmole Bianco 2018,Italy,Toscana,Frescobaldi,3.6,6.95,2018.0,Budget
Bouquet Terre Siciliane 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.6,10.57,2018.0,Economy
Chardonnay 2018,United States,North Coast,Ghost Pines,3.8,13.47,2018.0,Economy
Cococciola (Unico) 2019,Italy,Terre di Chieti,Tenuta Ulisse,3.8,8.9,2019.0,Budget
Ried Loibenberg Riesling Smaragd 2018,Austria,Wachau,F.X. Pichler,4.3,40.19,2018.0,Mid
Riesling Feinherb 2018,Germany,Rheingau,Schloss Vollrads,3.5,9.5,2018.0,Budget
Meursault-Genevrières Premier Cru 2013,France,Meursault 1er Cru 'Genevrières',Domaine Jean Monnier & Fils,4.0,95.36,2013.0,Premium
Niederberg Helden Riesling Kabinett 2018,Germany,Mosel,Schloss Lieser,3.9,17.1,2018.0,Economy
Sonnenberg Chardonnay Trocken 2018,Germany,Pfalz,Jülg,4.0,17.5,2018.0,Economy
Pinot Grigio Veneto 2019,Italy,Veneto,Vivolo di Sasso,3.4,5.29,2019.0,Budget
Oestricher Doosberg Alte Reben Riesling Trocken 2017,Germany,Rheingau,Spreitzer,3.9,16.9,2017.0,Economy
Poggio Al Tufo Vermentino 2018,Italy,Toscana,Tommasi,3.4,15.05,2018.0,Economy
Kaisermantel Weissburgunder 2019,Germany,Baden,Dr. Koehler,4.1,6.25,2019.0,Budget
Uvam Pinot Grigio 2019,Italy,delle Venezie,Maurizio B Martino MBM,3.7,5.25,2019.0,Budget
Kalkundkiesel 2019,Austria,Burgenland,Claus Preisinger,3.9,16.08,2019.0,Economy
Riverpoint Vineyard Gewürztraminer 2014,New Zealand,Gisborne,Millton,3.9,17.45,2014.0,Economy
Langenmorgen G.C 2014,Germany,Pfalz,Dr. Bürklin-Wolf,4.1,70.0,2014.0,Premium
Côtes du Rhône Le Caillou Blanc 2017,France,Côtes-du-Rhône,Clos du Caillou,3.4,10.9,2017.0,Economy
Sauvignon Blanc (Warrelwind) 2019,South Africa,Western Cape,MAN,3.6,5.49,2019.0,Budget
Fundament Riesling Trocken 2017,Germany,Pfalz,Wageck-Pfaffmann,3.2,8.56,2017.0,Budget
Viognier 2017,South Africa,Paarl,Fairview,3.4,15.98,2017.0,Economy
Parapli Chardonnay 2015,Hungary,Balaton,Kristinus,3.7,13.6,2015.0,Economy
Benedete Ribolla Gialla 2018,Italy,Veneto,Collavini,3.5,13.6,2018.0,Economy
Königsbacher Ölberg Riesling 2018,Germany,Pfalz,A. Christmann,3.6,25.35,2018.0,Mid
Cuvée Bérengère Chardonnay - Viognier 2018,France,Coteaux-d'Ensérune,Regismont,3.5,6.12,2018.0,Budget
Chardonnay 2017,Italy,Friuli Grave,Borgo Magredo,3.4,8.78,2017.0,Budget
GG Kirchberg Weissburgunder 2015,Germany,Baden,Salwey,4.3,35.0,2015.0,Mid
Clos Boucher Condrieu 2017,France,Condrieu,Delas,4.1,58.39,2017.0,Premium
Chiara 2018,Italy,Toscana,Poggio Al Sole,3.6,10.47,2018.0,Economy
Lahrer Grauburgunder 2018,Germany,Baden,Weingut Wöhrle,3.6,10.46,2018.0,Economy
Pecorino Terre di Chieti 2019,Italy,Terre di Chieti,Collefrisio,4.0,8.9,2019.0,Budget
Niederberg Helden Riesling GG 2017,Germany,Mosel,Schloss Lieser,3.8,26.5,2017.0,Mid
Steingrüble 2017,Germany,Baden,Ziereisen,4.1,13.95,2017.0,Economy
Zeltinger Riesling Kabinett Trocken 2018,Germany,Mosel,Selbach-Oster,3.8,13.95,2018.0,Economy
Piesporter Riesling Feinherb 2017,Germany,Piesport,Kurt Hain,4.0,8.72,2017.0,Budget
Live Wire Riesling 2018,Australia,Barossa,Langmeil,4.0,11.06,2018.0,Economy
Marani 2018,Italy,Veneto,Sartori,3.8,8.39,2018.0,Budget
Sallier de La Tour Grillo 2019,Italy,Sicilia,Tasca d'Almerita,3.9,8.9,2019.0,Budget
Auxerrois 2018,Germany,Baden,Klumpp,3.6,12.8,2018.0,Economy
Blanco 2018,Spain,Yecla,Barahonda,3.5,5.9,2018.0,Budget
Chardonnay 2018,South Africa,Cape Town,Cape Town Wine Co,3.0,7.5,2018.0,Budget
Escherndorfer Riesling 2018,Germany,Escherndorf,Horst Sauer,3.4,12.5,2018.0,Economy
Chenin Blanc 2018,South Africa,Paarl,Windmeul Kelder Cellar,3.4,7.5,2018.0,Budget
Weißburgunder Muschelkalk 2018,Germany,Baden,Enderle & Moll,3.9,15.01,2018.0,Economy
ReinSchiefer Nierstein Riesling 2017,Germany,Nierstein,Schätzel,3.6,20.53,2017.0,Mid
Edición Limitada Lías Verdejo 2017,Spain,Rueda,Ramón Bilbao,3.6,13.01,2017.0,Economy
Schellenbrunnen Riesling GG 2014,Germany,Baden,Heitlinger,3.9,30.39,2014.0,Mid
Halgans Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,4.1,20.84,2018.0,Mid
Saarburger Rausch Spätlese Riesling 2015,Germany,Mosel,Markus Molitor,3.6,20.95,2015.0,Mid
Sauvignon Riserva 2014,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.8,18.03,2014.0,Economy
Sauvignon 2018,France,Loire Valley,Domaine de la Foliette,3.4,7.7,2018.0,Budget
Deidesheimer Paradiesgarten 2017,Germany,Pfalz,Reichsrat von Buhl,4.1,21.0,2017.0,Mid
Riesling 'D' 2016,New Zealand,Marlborough,Te Whare Ra,3.8,21.45,2016.0,Mid
Jesuitengarten Riesling GG 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.0,43.77,2017.0,Mid
Johannishof Riesling Trocken 2019,Germany,Pfalz,Knipser,3.8,7.9,2019.0,Budget
Sauvignon Blanc 2019,Slovenia,Štajerska,Verus,3.9,11.9,2019.0,Economy
Chardonnay 2018,France,Pays d'Oc,Domaine d'Aubaret,3.5,6.95,2018.0,Budget
Sauvignon Blanc 500 2018,Germany,Pfalz,Von Winning,4.3,40.0,2018.0,Mid
Réserve Spéciale Sauvignon Blanc 2019,France,Pays d'Oc,Gérard Bertrand,3.9,8.32,2019.0,Budget
